Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:42:12 AM,24828014,14,14,6208.0,0.0,464.0,320.0,443.4285714285714,52.29165882258453,0.0,0.0,0.0,0.0,250.040136113988,1.127758345874946,919556.0740740742,928871.5175788857,2002478.0,15208.0,24745592.0,1903507.076923077,418419.2446772059,2035038.0,511022.0,24812806.0,1908677.3846153845,429877.5510098852,2284953.0,519977.0,1,0,0,0,448,448,0.563879172937473,0.563879172937473,0.0,464.0,230.0689655172414,229.0218222656776,52450.995073891616,0,0,0,14,28,0,0,0,1.0,238.28571428571428,443.4285714285714,0.0,0,0,0,0,0,0,1,517,1,0,2991,501,13,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
192.168.0.128-192.168.0.170-47924-4321-6,192.168.0.128,47924,192.168.0.170,4321,6,03/12/2021 07:23:46 PM,51600818,27,26,12240.0,0.0,464.0,320.0,453.33333333333337,38.4307569132209,0.0,0.0,0.0,0.0,237.20554197416016,1.027115500378308,992323.4230769232,931386.4540308974,2473675.0,22768.0,51600818.0,1984646.8461538465,316799.5224407627,2527819.0,509207.0,49577851.0,1983114.04,320317.5701750893,2559973.0,564966.0,1,0,0,0,864,832,0.5232475190606475,0.5038679813176605,0.0,464.0,235.25925925925927,230.41236087659007,53089.85604472398,0,0,0,27,53,0,0,0,0.0,239.6981132075472,453.3333333333333,0.0,0,0,0,0,0,0,1,489,1,0,2426,501,26,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:02:07 AM,118208750,64,59,30048.0,0.0,1392.0,320.0,469.5000000000001,122.2923896709381,0.0,0.0,0.0,0.0,254.19438070362813,1.0405321095096598,968924.1803278688,928685.7668559604,2960016.0,84.0,118100818.0,1874616.1587301588,542602.4852667779,2960016.0,303814.0,118138443.0,2036869.706896552,962464.0914601674,8252402.0,183.0,1,0,0,0,2048,1900,0.5414150813708799,0.4991170281387799,0.0,1392.0,246.0645161290323,251.1292137181392,63065.8819826908,0,0,0,64,123,0,0,0,0.0,248.0650406504065,469.5,0.0,0,0,0,1856,4,1226,1,536,1,0,2991,501,63,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:04:08 AM,118126637,62,62,27616.0,0.0,464.0,320.0,445.4193548387096,48.668011639618,0.0,0.0,0.0,0.0,233.78300357437587,1.049720902492128,960379.162601626,914727.044108531,2464393.0,17228.0,118109409.0,1936219.819672131,390885.3741681188,2520059.0,511059.0,117995128.0,1934346.3606557376,393632.45091688575,2561902.0,509638.0,1,0,0,0,1984,1984,0.524860451246064,0.524860451246064,0.0,464.0,224.64,226.3416772022105,51230.554838709686,0,0,0,62,124,0,0,0,1.0,226.4516129032258,445.4193548387097,0.0,0,0,0,0,0,0,1,484,1,0,2991,501,61,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:06:08 AM,118168670,66,62,29936.0,0.0,928.0,320.0,453.5757575757576,75.85534018137837,0.0,0.0,0.0,0.0,253.33279963293143,1.0831974329574836,930461.9685039372,911308.847841824,2500956.0,90.0,118103126.0,1816971.1692307687,563586.5593614638,2518838.0,59754.0,118051800.0,1935275.4098360653,843721.7510503363,6959850.0,261.0,1,0,0,0,2112,1996,0.5585236763687025,0.5246737565887811,0.0,928.0,235.65891472868216,233.91239332694195,54715.00775193799,0,0,0,66,128,0,0,0,0.0,237.5,453.5757575757576,0.0,0,0,0,1856,4,1477,1,525,1,0,2991,501,65,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:08:08 AM,118169302,61,61,27424.0,0.0,464.0,304.0,449.5737704918034,44.08040343750399,0.0,0.0,0.0,0.0,232.07380881373064,1.032417031624677,976605.8016528924,922265.7810128689,2380699.0,19985.0,118098179.0,1968302.9833333336,354468.1358195297,2519197.0,511231.0,118052751.0,1967545.85,355733.9079349509,2524949.0,509927.0,1,0,0,0,1952,1952,0.5162085158123385,0.5162085158123385,0.0,464.0,226.73170731707324,227.9253930699201,51949.98480607758,0,0,0,61,122,0,0,0,1.0,228.59016393442624,449.57377049180326,0.0,0,0,0,0,0,0,1,481,1,0,2991,501,60,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:10:08 AM,118208935,63,63,27776.0,0.0,464.0,272.0,440.888888888889,54.12742168049183,0.0,0.0,0.0,0.0,234.97377757442783,1.0659092732710942,945671.4800000002,905776.41726643,2500161.0,18484.0,118119556.0,1905154.129032258,430634.3524416456,2519674.0,511269.0,118111376.0,1905022.193548388,431020.9741415482,2630332.0,494935.0,1,0,0,0,2016,2016,0.5329546366355471,0.5329546366355471,0.0,464.0,222.3622047244095,224.7319980357322,50504.47094113235,0,0,0,63,126,0,0,0,1.0,224.12698412698413,440.8888888888889,0.0,0,0,0,0,0,0,1,487,1,0,2991,501,62,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:12:09 AM,118225848,64,50,33184.0,0.0,1448.0,320.0,518.5,249.7770434378857,0.0,0.0,0.0,0.0,280.683121004131,0.9642561413473644,1046246.442477876,1527762.079047989,12790017.0,58.0,118118769.0,1874901.095238096,1700049.693368789,12790017.0,58.0,118103070.0,2410266.7346938774,3802873.8681574194,27561224.0,19858.0,1,0,0,0,2048,1600,0.5413367811072922,0.422919360240072,0.0,1448.0,292.59130434782605,317.7023846099998,100934.80518688024,0,0,0,61,114,0,0,0,0.0,295.1578947368421,518.5,0.0,0,0,0,3306,4,3364,1,691,1,0,2991,501,63,32,66411258.0,0.0,66411258.0,66411258.0,9600008.0,4511353.991892234,12790017.0,6409999.0,Ransomware,1
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:14:09 AM,118375767,62,62,27616.0,0.0,464.0,320.0,445.41935483870975,48.668011639618,0.0,0.0,0.0,0.0,233.29099105224805,1.0475116921523304,962404.6097560974,909169.2995010284,2471032.0,18117.0,118103300.0,1936119.672131148,391108.9061586607,2518801.0,510493.0,118236282.0,1938299.7049180325,399052.27641368593,2560207.0,510065.0,1,0,0,0,1984,1984,0.5237558460761652,0.5237558460761652,0.0,464.0,224.64,226.3416772022106,51230.5548387097,0,0,0,62,124,0,0,0,1.0,226.4516129032258,445.4193548387097,0.0,0,0,0,0,0,0,1,484,1,0,2991,501,61,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
192.168.0.128-192.168.0.170-35306-4321-6,192.168.0.128,35306,192.168.0.170,4321,6,02/12/2021 11:16:09 AM,118214178,63,63,27760.0,0.0,464.0,288.0,440.6349206349206,54.43531277589695,0.0,0.0,0.0,0.0,234.82800853210685,1.0658619983806004,945713.424,904863.5803454844,2400089.0,41458.0,118125644.0,1905252.3225806456,430501.6247709777,2518528.0,510194.0,118127931.0,1905289.20967742,435896.9281046308,2457963.0,409859.0,1,0,0,0,2016,2016,0.5329309991903002,0.5329309991903002,0.0,464.0,222.236220472441,224.6451330888841,50465.435820522456,0,0,0,63,126,0,0,0,1.0,224.0,440.6349206349207,0.0,0,0,0,0,0,0,1,487,1,0,2991,501,62,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ransomware,1
